word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency,stem
otymplig,JJ.POS.UTR.SIN.IND.NOM,|otymplig..av.1|,-,1,1.292562,otymplig
lugnat,VB.SUP.AKT,|lugna..vb.1|,-,1,1.292562,lugna
sten,NN.UTR.SIN.IND.NOM,|sten..nn.2|sten..nn.1|över_stock_och_sten..abm.1|,-,1,1.292562,sten
1840-1897,RG.NOM,|,-,1,1.292562,
ROPAR,PM.NOM,|,-,1,1.292562,
förnär,AB,|förnär..ab.1|göra_förnär..vbm.1|,+,1,1.292562,förnär
Big,PM.NOM,|,-,1,1.292562,
kalasen,NN.NEU.PLU.DEF.NOM,|kalas..nn.1|,+,1,1.292562,kalas
berguvar,NN.UTR.PLU.IND.NOM,|berguv..nn.1|,+,1,1.292562,berguv
upparbetade,PC.PRF.UTR+NEU.PLU.IND+DEF.NOM,|upparbeta..vb.1|arbeta_upp..vbm.1|,+,1,1.292562,upparbeta
höger,JJ.POS.UTR.SIN.IND.NOM,|höger..av.1|på_höger_hand..abm.1|,-,1,1.292562,höger
älskarinnas,NN.UTR.SIN.IND.GEN,|älskarinna..nn.1|,-,1,1.292562,älskarinna
tjugorvåårig,JJ.POS.UTR.SIN.IND.NOM,|,-,1,1.292562,
välgörare,NN.UTR.SIN.IND.NOM,|välgörare..nn.1|,+,1,1.292562,välgörare
fodret,NN.NEU.SIN.DEF.NOM,|foder..nn.1|,-,1,1.292562,foder
HELVETE,PM.NOM,|för_helvete..abm.1|för_helvete..inm.1|,-,1,1.292562,för_helvete
övervägande,NN.NEU.SIN.IND.NOM,|övervägande..nn.1|,+,1,1.292562,övervägande
all,DT.UTR.SIN.IND+DEF,|all..pn.1|all_världens_väg..abm.1|,-,1,1.292562,all
sig,PN.UTR+NEU.SIN+PLU.DEF.OBJ,|sig..pn.1|utgjuta_sig..vbm.1|,-,1,1.292562,sig
konserverad,PC.PRF.UTR.SIN.IND.NOM,|konservera..vb.1|,+,1,1.292562,konservera
15oooo,RG.NOM,|,-,1,1.292562,
sockerströare,NN.UTR.SIN.IND.NOM,|sockerströare..nn.1|,+,1,1.292562,sockerströare
EMPATI,PM.NOM,|,-,1,1.292562,
er,PN.UTR.SIN.DEF.OBJ,|ni..pn.1|bära_sig..vbm.1|,-,1,1.292562,ni
sommarlek,NN.UTR.SIN.IND.NOM,|,+,1,1.292562,
förbigås,VB.INF.SFO,|förbigå..vb.1|förbigå_med_tystnad..vbm.1|,+,1,1.292562,förbigå
i,PP,|i..pp.1|komma_i_kläm..vbm.1|,-,1,1.292562,i
nyktra,VB.INF.AKT,|nyktra_till..vbm.1|,-,1,1.292562,nyktra_till
nattkudde,NN.UTR.SIN.IND.NOM,|,+,1,1.292562,
vassrugge,NN.UTR.SIN.IND.NOM,|vassrugge..nn.1|,+,1,1.292562,vassrugge
upp,PL,|upp..ab.1|torna_upp..vbm.1|torna_upp_sig..vbm.1|,-,1,1.292562,upp
slavjakterna,NN.UTR.PLU.DEF.NOM,|,+,1,1.292562,
sicksackstigen,NN.UTR.SIN.DEF.NOM,|,+,1,1.292562,
GEWUßT,PM.NOM,|,-,1,1.292562,
Chapman,PM.NOM,|,-,1,1.292562,
Hudiksvall,PM.NOM,|Hudiksvall..pm.1|,-,1,1.292562,Hudiksvall
Mittpå,HA,|,+,1,1.292562,
vaser,NN.UTR.PLU.IND.NOM,|vas..nn.1|,-,1,1.292562,vas
utsände,VB.PRT.AKT,|utsända..vb.1|,+,1,1.292562,utsända
krocketplan,NN.UTR.SIN.DEF.NOM,|,+,1,1.292562,
Dell,NN.UTR.SIN.IND.NOM,|,-,1,1.292562,
morgonfoder,NN.NEU.SIN.IND.NOM,|,+,1,1.292562,
Suttit,VB.SUP.AKT,|sitta..vb.1|,-,1,1.292562,sitta
dalade,VB.PRT.AKT,|dala..vb.1|,-,1,1.292562,dala
freda,VB.INF.AKT,|freda..vb.1|,-,1,1.292562,freda
överglänste,VB.PRT.AKT,|överglänsa..vb.1|,+,1,1.292562,överglänsa
husmassor,NN.UTR.PLU.IND.NOM,|,+,1,1.292562,
Dannemora,PM.GEN,|,-,1,1.292562,
lugnat,VB.SUP.AKT,|lugna..vb.1|lugna_sig..vbm.1|,-,1,1.292562,lugna
vältra,VB.INF.AKT,|vältra..vb.1|vältra_sig..vbm.1|,-,1,1.292562,vältra
kasta,VB.INF.AKT,|kasta..vb.2|kasta..vb.1|kasta_en_blick..vbm.1|kasta_sig..vbm.1|,+,1,1.292562,kasta
Ihållande,PC.PRS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|ihållande..av.1|,-,1,1.292562,ihållande
medfångars,NN.UTR.PLU.IND.GEN,|medfånge..nn.1|,+,1,1.292562,medfånge
FINNAS,VB.INF.SFO,|finnas..vb.1|finna..vb.1|,-,1,1.292562,finnas
Ivar,PM.NOM,|Ivar..pm.1|,-,1,1.292562,Ivar
i,PP,|i..pp.1|stick_i_stäv..abm.1|,-,1,1.292562,i
villrådighet,NN.UTR.SIN.IND.NOM,|villrådighet..nn.1|,+,1,1.292562,villrådighet
Därinifrån,AB,|därinifrån..ab.1|,+,1,1.292562,därinifrån
kunskapa,VB.INF.AKT,|kunskapa..vb.1|,-,1,1.292562,kunskapa
skada,NN.UTR.SIN.IND.NOM,|skada..nn.1|ingen_skada_skedd..inm.1|,-,1,1.292562,skada
rubrik,NN.UTR.SIN.IND.NOM,|rubrik..nn.1|,-,1,1.292562,rubrik
begravde,VB.PRT.AKT,|begrava..vb.1|begrava_sig..vbm.1|,-,1,1.292562,begrava
Tycker,VB.PRS.AKT,|tycka..vb.1|tycka_om..vbm.1|,-,1,1.292562,tycka
gruvschakten,NN.NEU.PLU.DEF.NOM,|gruvschakt..nn.1|,+,1,1.292562,gruvschakt
brännässlor,NN.UTR.PLU.IND.NOM,|brännässla..nn.1|,+,1,1.292562,brännässla
slängdes,VB.PRT.SFO,|slänga..vb.1|,-,1,1.292562,slänga
bevåg,NN.NEU.SIN.IND.NOM,|på_eget_bevåg..abm.1|,-,1,1.292562,på_eget_bevåg
Mestadels,AB,|mestadels..ab.1|,-,1,1.292562,mestadels
timid,PC.PRF.UTR.SIN.IND.NOM,|timid..av.1|,-,1,1.292562,timid
brittiska,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|brittisk..av.1|,-,1,1.292562,brittisk
er,PN.UTR.SIN.DEF.OBJ,|ni..pn.1|rota_sig..vbm.1|,-,1,1.292562,ni
KÄRE,PM.NOM,|,-,1,1.292562,
vykorts-,NN.UTR.-.-.SMS,|vykort..nn.1|,-,1,1.292562,vykort
sett,VB.SUP.AKT,|se..vb.1|se_upp..vbm.1|,-,1,1.292562,se
utbildat,VB.SUP.AKT,|utbilda..vb.1|,+,1,1.292562,utbilda
landtrollen,NN.UTR.SIN.DEF.NOM,|,+,1,1.292562,
flämta,VB.INF.AKT,|flämta..vb.1|,-,1,1.292562,flämta
uppfostrade,PC.PRF.UTR+NEU.PLU.IND+DEF.NOM,|uppfostra..vb.1|,+,1,1.292562,uppfostra
skogsdunklet,NN.NEU.SIN.DEF.NOM,|,+,1,1.292562,
verkstadsindustrin,NN.UTR.SIN.DEF.NOM,|verkstadsindustri..nn.1|,+,1,1.292562,verkstadsindustri
nödropen,NN.NEU.PLU.DEF.NOM,|nödrop..nn.1|,+,1,1.292562,nödrop
människoboning,NN.UTR.SIN.IND.NOM,|,+,1,1.292562,
puttrade,VB.PRT.AKT,|puttra..vb.1|,-,1,1.292562,puttra
sögs,VB.PRT.SFO,|suga..vb.2|suga..vb.1|,-,1,1.292562,suga
lade,VB.PRT.AKT,|lägga..vb.1|lägga_opp..vbm.1|,-,1,1.292562,lägga
av,AB,|av..ab.1|ge_sig_av..vbm.1|,-,1,1.292562,av
mig,PN.UTR.SIN.DEF.OBJ,|jag..pn.1|reda_sig..vbm.1|,-,1,1.292562,jag
förlitade,VB.PRT.AKT,|förlita_sig..vbm.1|,+,1,1.292562,förlita_sig
Golvet,NN.NEU.SIN.DEF.NOM,|golv..nn.1|,-,1,1.292562,golv
Präktigt,JJ.POS.NEU.SIN.IND.NOM,|präktig..av.1|,-,1,1.292562,präktig
fynd,NN.NEU.PLU.IND.NOM,|fynd..nn.1|,-,1,1.292562,fynd
olyckliga,JJ.POS.UTR+NEU.SIN.DEF.NOM,|olycklig..av.1|,-,1,1.292562,olycklig
d.ä.,AB.AN,|,-,1,1.292562,
SÅG,NN.NEU.PLU.IND.NOM,|såg..nn.1|,+,1,1.292562,såg
slutsegern,NN.UTR.SIN.DEF.NOM,|,+,1,1.292562,
växla,VB.INF.AKT,|växla..vb.1|växla_in..vbm.1|,+,1,1.292562,växla
lysningar,NN.UTR.PLU.IND.NOM,|lysning..nn.1|,-,1,1.292562,lysning
uppvirvlande,PC.PRS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|,+,1,1.292562,
köttmassan,NN.UTR.SIN.DEF.NOM,|,+,1,1.292562,
VERONIKA,PM.NOM,|,-,1,1.292562,
omringat,PC.PRF.NEU.SIN.IND.NOM,|omringa..vb.1|,+,1,1.292562,omringa
MOLNFRI,JJ.POS.UTR.SIN.IND.NOM,|molnfri..av.1|,+,1,1.292562,molnfri
skrangligt,JJ.POS.NEU.SIN.IND.NOM,|skranglig..av.1|,-,1,1.292562,skranglig
vilsegångna,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|vilsegången..av.1|,-,1,1.292562,vilsegången
