word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
confessed,VBD,__UNDEF__,+,4,5.381509
showered,VBN,__UNDEF__,+,4,5.381509
anon,NN,__UNDEF__,+,4,5.381509
battleships,NNS,__UNDEF__,+,4,5.381509
analyses,NNS,__UNDEF__,+,4,5.381509
attacks,NNS,__UNDEF__,+,4,5.381509
sociable,JJ,__UNDEF__,+,4,5.381509
YOU,PRP,__UNDEF__,+,4,5.381509
Maarsen,NP,__UNDEF__,+,4,5.381509
speculations,NNS,__UNDEF__,+,4,5.381509
interrupting,VBG,__UNDEF__,+,4,5.381509
gabled,NN,__UNDEF__,+,4,5.381509
know.,__UNDEF__,__UNDEF__,+,4,5.381509
picture,VB,__UNDEF__,+,4,5.381509
resulted,VBN,__UNDEF__,+,4,5.381509
pegs,NNS,__UNDEF__,+,4,5.381509
spoiled,VBD,__UNDEF__,+,4,5.381509
caféteria,NNS,__UNDEF__,+,4,5.381509
sorted,VBD,__UNDEF__,+,4,5.381509
awakening,NN,__UNDEF__,+,4,5.381509
blamed,VBN,__UNDEF__,+,4,5.381509
wretchedly,RB,__UNDEF__,+,4,5.381509
finance,NN,__UNDEF__,+,4,5.381509
What,NP,__UNDEF__,+,4,5.381509
labyrinth,NN,__UNDEF__,+,4,5.381509
perfectly,__UNDEF__,__UNDEF__,+,4,5.381509
thud,NN,__UNDEF__,+,4,5.381509
Suppose,VB,__UNDEF__,+,4,5.381509
trenches,NNS,__UNDEF__,+,4,5.381509
forbidding,VBG,__UNDEF__,+,4,5.381509
inquired,VBD,__UNDEF__,+,4,5.381509
invest,VB,__UNDEF__,+,4,5.381509
grumpy,JJ,__UNDEF__,+,4,5.381509
mildly,RB,__UNDEF__,+,4,5.381509
tufted,JJ,__UNDEF__,+,4,5.381509
bone,NN,__UNDEF__,+,4,5.381509
open,__UNDEF__,__UNDEF__,+,4,5.381509
felled,VBN,__UNDEF__,+,4,5.381509
keen,JJ,__UNDEF__,+,4,5.381509
Sirle_Squirrel,NP,__UNDEF__,+,4,5.381509
Alexandre_Vangeersad,NP,__UNDEF__,+,4,5.381509
label,NN,__UNDEF__,+,4,5.381509
Beckman,NP,__UNDEF__,+,4,5.381509
Mr._Frank,NP,__UNDEF__,+,4,5.381509
Peter.,__UNDEF__,__UNDEF__,+,4,5.381509
Keg,NP,__UNDEF__,+,4,5.381509
salon,NN,__UNDEF__,+,4,5.381509
alcohol,NN,__UNDEF__,+,4,5.381509
belonged,VBN,__UNDEF__,+,4,5.381509
acorns,NNS,__UNDEF__,+,4,5.381509
"say,",__UNDEF__,__UNDEF__,+,4,5.381509
stench,NN,__UNDEF__,+,4,5.381509
assuming,VBG,__UNDEF__,+,4,5.381509
eighteen,Z,__UNDEF__,+,4,5.381509
loomed,VBD,__UNDEF__,+,4,5.381509
afar,NN,__UNDEF__,+,4,5.381509
Twice,RB,__UNDEF__,+,4,5.381509
vessel,NN,__UNDEF__,+,4,5.381509
nineteen,Z,__UNDEF__,+,4,5.381509
dumped,VBD,__UNDEF__,+,4,5.381509
away.,__UNDEF__,__UNDEF__,+,4,5.381509
tempt,VB,__UNDEF__,+,4,5.381509
insect,NN,__UNDEF__,+,4,5.381509
Breakfast,NN,__UNDEF__,+,4,5.381509
High,JJ,__UNDEF__,+,4,5.381509
tub,NN,__UNDEF__,+,4,5.381509
mantle,NN,__UNDEF__,+,4,5.381509
followers,NNS,__UNDEF__,+,4,5.381509
messenger,NN,__UNDEF__,+,4,5.381509
perch,NN,__UNDEF__,+,4,5.381509
nearer,IN,__UNDEF__,+,4,5.381509
Astrid_Lindgren,NP,__UNDEF__,+,4,5.381509
grunted,VBD,__UNDEF__,+,4,5.381509
32027,Z,__UNDEF__,+,4,5.381509
gipsy,NN,__UNDEF__,+,4,5.381509
smelt,VBN,__UNDEF__,+,4,5.381509
Bloom,NN,__UNDEF__,+,4,5.381509
roll,VB,__UNDEF__,+,4,5.381509
punching,VBG,__UNDEF__,+,4,5.381509
gutter,NN,__UNDEF__,+,4,5.381509
ribbon,NN,__UNDEF__,+,4,5.381509
finer,JJR,__UNDEF__,+,4,5.381509
password,NN,__UNDEF__,+,4,5.381509
specks,NNS,__UNDEF__,+,4,5.381509
herbs,NNS,__UNDEF__,+,4,5.381509
illustrations,NNS,__UNDEF__,+,4,5.381509
daisies,NNS,__UNDEF__,+,4,5.381509
niche,NN,__UNDEF__,+,4,5.381509
bricks,NNS,__UNDEF__,+,4,5.381509
ze,NN,__UNDEF__,+,4,5.381509
stillness,NN,__UNDEF__,+,4,5.381509
boards,NNS,__UNDEF__,+,4,5.381509
unsafe,JJ,__UNDEF__,+,4,5.381509
biographies,NNS,__UNDEF__,+,4,5.381509
willingly,RB,__UNDEF__,+,4,5.381509
lied,VBD,__UNDEF__,+,4,5.381509
piano,NN,__UNDEF__,+,4,5.381509
it'll,__UNDEF__,__UNDEF__,+,4,5.381509
wife,__UNDEF__,__UNDEF__,+,4,5.381509
suddenly,__UNDEF__,__UNDEF__,+,4,5.381509
broom,NN,__UNDEF__,+,4,5.381509
cluster,NN,__UNDEF__,+,4,5.381509
universe,NN,__UNDEF__,+,4,5.381509
lids,NNS,__UNDEF__,+,4,5.381509
Yet,CC,__UNDEF__,+,4,5.381509
defied,VBD,__UNDEF__,+,4,5.381509
Fifteen,DT,__UNDEF__,+,4,5.381509
humble,JJ,__UNDEF__,+,4,5.381509
float,VB,__UNDEF__,+,4,5.381509
isolated,VBN,__UNDEF__,+,4,5.381509
turnips,NNS,__UNDEF__,+,4,5.381509
unmolested,JJ,__UNDEF__,+,4,5.381509
shifted,VBN,__UNDEF__,+,4,5.381509
latex,NN,__UNDEF__,+,4,5.381509
sharpened,VBD,__UNDEF__,+,4,5.381509
growl,NN,__UNDEF__,+,4,5.381509
bellowed,VBD,__UNDEF__,+,4,5.381509
Four,Z,__UNDEF__,+,4,5.381509
Hai_Shang,NP,__UNDEF__,+,4,5.381509
potential,JJ,__UNDEF__,+,4,5.381509
treacherous,JJ,__UNDEF__,+,4,5.381509
Seals,NNS,__UNDEF__,+,4,5.381509
crow-ridge,NN,__UNDEF__,+,4,5.381509
1992,Z,__UNDEF__,+,4,5.381509
institution,NN,__UNDEF__,+,4,5.381509
forgiven,VBN,__UNDEF__,+,4,5.381509
ray,NN,__UNDEF__,+,4,5.381509
smashing,VBG,__UNDEF__,+,4,5.381509
grieved,VBD,__UNDEF__,+,4,5.381509
compensation,NN,__UNDEF__,+,4,5.381509
ceased,VBD,__UNDEF__,+,4,5.381509
countenance,NN,__UNDEF__,+,4,5.381509
celebrate,VB,__UNDEF__,+,4,5.381509
tortured,VBN,__UNDEF__,+,4,5.381509
meticulous,JJ,__UNDEF__,+,4,5.381509
D_Day,NP,__UNDEF__,+,4,5.381509
acceptable,JJ,__UNDEF__,+,4,5.381509
dwelt,VBD,__UNDEF__,+,4,5.381509
mid,NN,__UNDEF__,+,4,5.381509
certain,__UNDEF__,__UNDEF__,+,4,5.381509
reckon,VBP,__UNDEF__,+,4,5.381509
increased,VBN,__UNDEF__,+,4,5.381509
moose,NN,__UNDEF__,+,4,5.381509
shed,VB,__UNDEF__,+,4,5.381509
restore,VB,__UNDEF__,+,4,5.381509
smouldering,VBG,__UNDEF__,+,4,5.381509
vines,NNS,__UNDEF__,+,4,5.381509
Dickens,NP,__UNDEF__,+,4,5.381509
over.,__UNDEF__,__UNDEF__,+,4,5.381509
Speaking,VBG,__UNDEF__,+,4,5.381509
sickly,RB,__UNDEF__,+,4,5.381509
contained,VBN,__UNDEF__,+,4,5.381509
conquer,VB,__UNDEF__,+,4,5.381509
Kit,NP,__UNDEF__,+,4,5.381509
obeyed,VBN,__UNDEF__,+,4,5.381509
NEVER,__UNDEF__,__UNDEF__,+,4,5.381509
sometimes,__UNDEF__,__UNDEF__,+,4,5.381509
lose,VBP,__UNDEF__,+,4,5.381509
gigantic,JJ,__UNDEF__,+,4,5.381509
flicked,VBD,__UNDEF__,+,4,5.381509
unkind,JJ,__UNDEF__,+,4,5.381509
hostile,JJ,__UNDEF__,+,4,5.381509
highways,NNS,__UNDEF__,+,4,5.381509
ripe,JJ,__UNDEF__,+,4,5.381509
age,__UNDEF__,__UNDEF__,+,4,5.381509
forthwith,RB,__UNDEF__,+,4,5.381509
numb,JJ,__UNDEF__,+,4,5.381509
fantastic,JJ,__UNDEF__,+,4,5.381509
perpendicular,JJ,__UNDEF__,+,4,5.381509
produced,VBN,__UNDEF__,+,4,5.381509
six_metres,Zu,__UNDEF__,+,4,5.381509
beers,NNS,__UNDEF__,+,4,5.381509
Jordberga,NP,__UNDEF__,+,4,5.381509
thinks,__UNDEF__,__UNDEF__,+,4,5.381509
gale,NN,__UNDEF__,+,4,5.381509
mermaids,NNS,__UNDEF__,+,4,5.381509
require,VBP,__UNDEF__,+,4,5.381509
abrupt,JJ,__UNDEF__,+,4,5.381509
scanned,VBN,__UNDEF__,+,4,5.381509
scrutiny,NN,__UNDEF__,+,4,5.381509
sunk,VBN,__UNDEF__,+,4,5.381509
improbable,JJ,__UNDEF__,+,4,5.381509
beastly,JJ,__UNDEF__,+,4,5.381509
whizzing,VBG,__UNDEF__,+,4,5.381509
descended,VBN,__UNDEF__,+,4,5.381509
Talk,NN,__UNDEF__,+,4,5.381509
stout,JJ,__UNDEF__,+,4,5.381509
cans,NNS,__UNDEF__,+,4,5.381509
swan-king,NN,__UNDEF__,+,4,5.381509
Rabbit.,__UNDEF__,__UNDEF__,+,4,5.381509
inserted,VBN,__UNDEF__,+,4,5.381509
exterior,NN,__UNDEF__,+,4,5.381509
emotionally,RB,__UNDEF__,+,4,5.381509
backside,NN,__UNDEF__,+,4,5.381509
"him,",__UNDEF__,__UNDEF__,+,4,5.381509
fancy,NN,__UNDEF__,+,4,5.381509
five_feet,Zu,__UNDEF__,+,4,5.381509
annoyance,NN,__UNDEF__,+,4,5.381509
nun,NN,__UNDEF__,+,4,5.381509
joked,VBD,__UNDEF__,+,4,5.381509
mantelpiece,NN,__UNDEF__,+,4,5.381509
Nazism,NP,__UNDEF__,+,4,5.381509
maybe,__UNDEF__,__UNDEF__,+,4,5.381509
encouraging,VBG,__UNDEF__,+,4,5.381509
Karlman,NP,__UNDEF__,+,4,5.381509
swallowing,VBG,__UNDEF__,+,4,5.381509
full,__UNDEF__,__UNDEF__,+,4,5.381509
deeper,RBR,__UNDEF__,+,4,5.381509
ambulance,NN,__UNDEF__,+,4,5.381509
optimism,NN,__UNDEF__,+,4,5.381509
elementary,JJ,__UNDEF__,+,4,5.381509
unfamiliar,JJ,__UNDEF__,+,4,5.381509
assaults,NNS,__UNDEF__,+,4,5.381509
Rullåker_Prison,NP,__UNDEF__,+,4,5.381509
dear!,__UNDEF__,__UNDEF__,+,4,5.381509
sorting,VBG,__UNDEF__,+,4,5.381509
cruelty,NN,__UNDEF__,+,4,5.381509
reluctant,JJ,__UNDEF__,+,4,5.381509
week,__UNDEF__,__UNDEF__,+,4,5.381509
heavenly,JJ,__UNDEF__,+,4,5.381509
contentedly,RB,__UNDEF__,+,4,5.381509
scandal,NN,__UNDEF__,+,4,5.381509
lipstick,NN,__UNDEF__,+,4,5.381509
execution,NN,__UNDEF__,+,4,5.381509
named,__UNDEF__,__UNDEF__,+,4,5.381509
nephews,NNS,__UNDEF__,+,4,5.381509
notices,NNS,__UNDEF__,+,4,5.381509
headed,VBD,__UNDEF__,+,4,5.381509
billions,NNS,__UNDEF__,+,4,5.381509
planted,VBD,__UNDEF__,+,4,5.381509
expense,NN,__UNDEF__,+,4,5.381509
bodyguard,NN,__UNDEF__,+,4,5.381509
insolent,JJ,__UNDEF__,+,4,5.381509
family,__UNDEF__,__UNDEF__,+,4,5.381509
marshy,JJ,__UNDEF__,+,4,5.381509
descent,NN,__UNDEF__,+,4,5.381509
handled,VBN,__UNDEF__,+,4,5.381509
viewed,VBN,__UNDEF__,+,4,5.381509
docks,NNS,__UNDEF__,+,4,5.381509
split,NN,__UNDEF__,+,4,5.381509
clarity,NN,__UNDEF__,+,4,5.381509
shivered,VBD,__UNDEF__,+,4,5.381509
fir,NN,__UNDEF__,+,4,5.381509
keeper,NN,__UNDEF__,+,4,5.381509
lobsters,NNS,__UNDEF__,+,4,5.381509
charged,VBD,__UNDEF__,+,4,5.381509
crevice,NN,__UNDEF__,+,4,5.381509
lists,NNS,__UNDEF__,+,4,5.381509
spades,NNS,__UNDEF__,+,4,5.381509
conscious,JJ,__UNDEF__,+,4,5.381509
picturesque,JJ,__UNDEF__,+,4,5.381509
genius,NN,__UNDEF__,+,4,5.381509
overshadowed,VBN,__UNDEF__,+,4,5.381509
Kerli,NP,__UNDEF__,+,4,5.381509
printer,NN,__UNDEF__,+,4,5.381509
FUhrer,NP,__UNDEF__,+,4,5.381509
fought,VBN,__UNDEF__,+,4,5.381509
thrifty,JJ,__UNDEF__,+,4,5.381509
Mine,NN,__UNDEF__,+,4,5.381509
eight_o'clock,W,__UNDEF__,+,4,5.381509
rains,NNS,__UNDEF__,+,4,5.381509
1964,W,__UNDEF__,+,4,5.381509
foreheads,NNS,__UNDEF__,+,4,5.381509
fences,NNS,__UNDEF__,+,4,5.381509
southward,JJ,__UNDEF__,+,4,5.381509
brat,NN,__UNDEF__,+,4,5.381509
registration,NN,__UNDEF__,+,4,5.381509
speaker,NN,__UNDEF__,+,4,5.381509
pitched,VBD,__UNDEF__,+,4,5.381509
marked,VBN,__UNDEF__,+,4,5.381509
Gerda,NP,__UNDEF__,+,4,5.381509
true,__UNDEF__,__UNDEF__,+,4,5.381509
ruled,VBD,__UNDEF__,+,4,5.381509
worth,NN,__UNDEF__,+,4,5.381509
savings,NN,__UNDEF__,+,4,5.381509
headway,NN,__UNDEF__,+,4,5.381509
grinning,VBG,__UNDEF__,+,4,5.381509
West_Vemminghög,NP,__UNDEF__,+,4,5.381509
scoldings,NNS,__UNDEF__,+,4,5.381509
Mr._Keesing,NP,__UNDEF__,+,4,5.381509
boiled,VBN,__UNDEF__,+,4,5.381509
simultaneously,RB,__UNDEF__,+,4,5.381509
cries,VBZ,__UNDEF__,+,4,5.381509
spluttered,VBD,__UNDEF__,+,4,5.381509
outcome,NN,__UNDEF__,+,4,5.381509
jurors,NNS,__UNDEF__,+,4,5.381509
UPPSALA,NP,__UNDEF__,+,4,5.381509
pursued,VBN,__UNDEF__,+,4,5.381509
Either,RB,__UNDEF__,+,4,5.381509
talents,NNS,__UNDEF__,+,4,5.381509
calculating,VBG,__UNDEF__,+,4,5.381509
raped,VBN,__UNDEF__,+,4,5.381509
"was,",__UNDEF__,__UNDEF__,+,4,5.381509
undecided,JJ,__UNDEF__,+,4,5.381509
rotting,VBG,__UNDEF__,+,4,5.381509
controlled,VBN,__UNDEF__,+,4,5.381509
leaky,JJ,__UNDEF__,+,4,5.381509
mature,JJ,__UNDEF__,+,4,5.381509
dates,NNS,__UNDEF__,+,4,5.381509
tide,NN,__UNDEF__,+,4,5.381509
COMMENT_ADDED_BY_ANNE_ON,NP,__UNDEF__,+,4,5.381509
given,__UNDEF__,__UNDEF__,+,4,5.381509
over,RB,__UNDEF__,+,4,5.381509
chemistry,NN,__UNDEF__,+,4,5.381509
seven,__UNDEF__,__UNDEF__,+,4,5.381509
sneaked,VBN,__UNDEF__,+,4,5.381509
hides,NNS,__UNDEF__,+,4,5.381509
kinsmen,NNS,__UNDEF__,+,4,5.381509
confided,VBN,__UNDEF__,+,4,5.381509
flashlight,NN,__UNDEF__,+,4,5.381509
frogs,NNS,__UNDEF__,+,4,5.381509
mine,PRP$,__UNDEF__,+,4,5.381509
overcome,VB,__UNDEF__,+,4,5.381509
herring,NN,__UNDEF__,+,4,5.381509
Mrs._Kleiman,NP,__UNDEF__,+,4,5.381509
projects,NNS,__UNDEF__,+,4,5.381509
watering,VBG,__UNDEF__,+,4,5.381509
drained,VBN,__UNDEF__,+,4,5.381509
Mr._Dreher,NP,__UNDEF__,+,4,5.381509
Uppland,NP,__UNDEF__,+,4,5.381509
sensation,NN,__UNDEF__,+,4,5.381509
pears,NNS,__UNDEF__,+,4,5.381509
ached,VBN,__UNDEF__,+,4,5.381509
crotch,NN,__UNDEF__,+,4,5.381509
freight,NN,__UNDEF__,+,4,5.381509
wears,VBZ,__UNDEF__,+,4,5.381509
squeaky,JJ,__UNDEF__,+,4,5.381509
problem,__UNDEF__,__UNDEF__,+,4,5.381509
sighted,VBN,__UNDEF__,+,4,5.381509
clown,NN,__UNDEF__,+,4,5.381509
us.,__UNDEF__,__UNDEF__,+,4,5.381509
Birds,NNS,__UNDEF__,+,4,5.381509
window-panes,NNS,__UNDEF__,+,4,5.381509
favour,NN,__UNDEF__,+,4,5.381509
spell,NN,__UNDEF__,+,4,5.381509
ET_CETERA,NP,__UNDEF__,+,4,5.381509
WE,NP,__UNDEF__,+,4,5.381509
exercises,NNS,__UNDEF__,+,4,5.381509
starting,__UNDEF__,__UNDEF__,+,4,5.381509
disastrous,JJ,__UNDEF__,+,4,5.381509
intellectual,JJ,__UNDEF__,+,4,5.381509
topmost,JJ,__UNDEF__,+,4,5.381509
for_the_time_being,RB,__UNDEF__,+,4,5.381509
nimble,JJ,__UNDEF__,+,4,5.381509
stick,VBP,__UNDEF__,+,4,5.381509
grace,NN,__UNDEF__,+,4,5.381509
em,VBP,__UNDEF__,+,4,5.381509
beckoned,VBD,__UNDEF__,+,4,5.381509
squeezing,VBG,__UNDEF__,+,4,5.381509
acid,NN,__UNDEF__,+,4,5.381509
slanting,VBG,__UNDEF__,+,4,5.381509
engineer,NN,__UNDEF__,+,4,5.381509
doubtfully,RB,__UNDEF__,+,4,5.381509
groaning,VBG,__UNDEF__,+,4,5.381509
permit,VB,__UNDEF__,+,4,5.381509
nodded,VBN,__UNDEF__,+,4,5.381509
thereafter,RB,__UNDEF__,+,4,5.381509
convincing,VBG,__UNDEF__,+,4,5.381509
commercial,JJ,__UNDEF__,+,4,5.381509
Sara_Witt,NP,__UNDEF__,+,4,5.381509
sneeze,VB,__UNDEF__,+,4,5.381509
crackpot,NN,__UNDEF__,+,4,5.381509
ventured,VBN,__UNDEF__,+,4,5.381509
tragic,JJ,__UNDEF__,+,4,5.381509
outstretched,VBN,__UNDEF__,+,4,5.381509
butt,VB,__UNDEF__,+,4,5.381509
declaration,NN,__UNDEF__,+,4,5.381509
exposed,VBN,__UNDEF__,+,4,5.381509
chubby,JJ,__UNDEF__,+,4,5.381509
Trust,VB,__UNDEF__,+,4,5.381509
probability,NN,__UNDEF__,+,4,5.381509
bitten,VBN,__UNDEF__,+,4,5.381509
parody,NN,__UNDEF__,+,4,5.381509
digits,NNS,__UNDEF__,+,4,5.381509
undertake,VB,__UNDEF__,+,4,5.381509
annoy,VB,__UNDEF__,+,4,5.381509
beggar,NN,__UNDEF__,+,4,5.381509
elected,VBN,__UNDEF__,+,4,5.381509
"rate,",__UNDEF__,__UNDEF__,+,4,5.381509
poked,VBN,__UNDEF__,+,4,5.381509
legends,NNS,__UNDEF__,+,4,5.381509
J.,__UNDEF__,__UNDEF__,+,4,5.381509
"you.""",__UNDEF__,__UNDEF__,+,4,5.381509
scraps,NNS,__UNDEF__,+,4,5.381509
turreted,JJ,__UNDEF__,+,4,5.381509
centuries,NNS,__UNDEF__,+,4,5.381509
ornamented,VBN,__UNDEF__,+,4,5.381509
bloody,JJ,__UNDEF__,+,4,5.381509
demonstration,NN,__UNDEF__,+,4,5.381509
massive,JJ,__UNDEF__,+,4,5.381509
homestead,NN,__UNDEF__,+,4,5.381509
pattering,VBG,__UNDEF__,+,4,5.381509
13,Z,__UNDEF__,+,4,5.381509
repulsive,JJ,__UNDEF__,+,4,5.381509
sombre,JJ,__UNDEF__,+,4,5.381509
drug,NN,__UNDEF__,+,4,5.381509
undertook,VBD,__UNDEF__,+,4,5.381509
fitted,VBN,__UNDEF__,+,4,5.381509
spray,NN,__UNDEF__,+,4,5.381509
grabbing,VBG,__UNDEF__,+,4,5.381509
puff,NN,__UNDEF__,+,4,5.381509
moaning,VBG,__UNDEF__,+,4,5.381509
meeting-place,NN,__UNDEF__,+,4,5.381509
bays,NNS,__UNDEF__,+,4,5.381509
clambering,VBG,__UNDEF__,+,4,5.381509
Personally,RB,__UNDEF__,+,4,5.381509
Mildred_Berggren,NP,__UNDEF__,+,4,5.381509
goblinses,NNS,__UNDEF__,+,4,5.381509
de,NN,__UNDEF__,+,4,5.381509
verbs,NNS,__UNDEF__,+,4,5.381509
confided,VBD,__UNDEF__,+,4,5.381509
blues,NNS,__UNDEF__,+,4,5.381509
guarantee,NN,__UNDEF__,+,4,5.381509
fragrance,NN,__UNDEF__,+,4,5.381509
Ere,NP,__UNDEF__,+,4,5.381509
popped,VBN,__UNDEF__,+,4,5.381509
days,__UNDEF__,__UNDEF__,+,4,5.381509
Lea,NN,__UNDEF__,+,4,5.381509
honor,NN,__UNDEF__,+,4,5.381509
chronological,JJ,__UNDEF__,+,4,5.381509
picnic,NN,__UNDEF__,+,4,5.381509
caretaker,NN,__UNDEF__,+,4,5.381509
purchased,VBN,__UNDEF__,+,4,5.381509
Jämtland,NP,__UNDEF__,+,4,5.381509
Iksi,NP,__UNDEF__,+,4,5.381509
considers,VBZ,__UNDEF__,+,4,5.381509
LITTLE,NP,__UNDEF__,+,4,5.381509
underpants,NNS,__UNDEF__,+,4,5.381509
laden,VBN,__UNDEF__,+,4,5.381509
Time,NP,__UNDEF__,+,4,5.381509
yeast,NN,__UNDEF__,+,4,5.381509
sparrow,NN,__UNDEF__,+,4,5.381509
drake,NN,__UNDEF__,+,4,5.381509
greasing,VBG,__UNDEF__,+,4,5.381509
"to,",__UNDEF__,__UNDEF__,+,4,5.381509
surprise,VB,__UNDEF__,+,4,5.381509
limited,VBN,__UNDEF__,+,4,5.381509
next,IN,__UNDEF__,+,4,5.381509
gaping,VBG,__UNDEF__,+,4,5.381509
propped,VBD,__UNDEF__,+,4,5.381509
nuisance,NN,__UNDEF__,+,4,5.381509
complaint,NN,__UNDEF__,+,4,5.381509
Bolg,NP,__UNDEF__,+,4,5.381509
Tallinn,NP,__UNDEF__,+,4,5.381509
urged,VBD,__UNDEF__,+,4,5.381509
chat,NN,__UNDEF__,+,4,5.381509
3-i,Z,__UNDEF__,+,4,5.381509
swallowed,VBD,__UNDEF__,+,4,5.381509
fleeting,JJ,__UNDEF__,+,4,5.381509
rely,VB,__UNDEF__,+,4,5.381509
in_order_that,CC,__UNDEF__,+,4,5.381509
freak,NN,__UNDEF__,+,4,5.381509
sex,__UNDEF__,__UNDEF__,+,4,5.381509
reproaches,NNS,__UNDEF__,+,4,5.381509
become,VBP,__UNDEF__,+,4,5.381509
bathrobe,NN,__UNDEF__,+,4,5.381509
dignity,NN,__UNDEF__,+,4,5.381509
plunged,VBN,__UNDEF__,+,4,5.381509
sticky,JJ,__UNDEF__,+,4,5.381509
Pettersson,NP,__UNDEF__,+,4,5.381509
faithful,JJ,__UNDEF__,+,4,5.381509
thimble,NN,__UNDEF__,+,4,5.381509
packing,VBG,__UNDEF__,+,4,5.381509
S,NP,__UNDEF__,+,4,5.381509
homesteads,NNS,__UNDEF__,+,4,5.381509
sawmills,NNS,__UNDEF__,+,4,5.381509
"over,",__UNDEF__,__UNDEF__,+,4,5.381509
earl,NN,__UNDEF__,+,4,5.381509
account,VB,__UNDEF__,+,4,5.381509
downloaded,VBN,__UNDEF__,+,4,5.381509
Somewhere,RB,__UNDEF__,+,4,5.381509
encouraged,VBN,__UNDEF__,+,4,5.381509
hide,__UNDEF__,__UNDEF__,+,4,5.381509
Kolme,NP,__UNDEF__,+,4,5.381509
krona,NN,__UNDEF__,+,4,5.381509
Precisely,RB,__UNDEF__,+,4,5.381509
purse,NN,__UNDEF__,+,4,5.381509
mills,NNS,__UNDEF__,+,4,5.381509
yell,VB,__UNDEF__,+,4,5.381509
32016,Z,__UNDEF__,+,4,5.381509
ill,RB,__UNDEF__,+,4,5.381509
drifted,VBD,__UNDEF__,+,4,5.381509
deposited,VBD,__UNDEF__,+,4,5.381509
reinforcements,NNS,__UNDEF__,+,4,5.381509
apart,RP,__UNDEF__,+,4,5.381509
rescued,VBD,__UNDEF__,+,4,5.381509
Sanne,NP,__UNDEF__,+,4,5.381509
Turn,VB,__UNDEF__,+,4,5.381509
hoisted,VBD,__UNDEF__,+,4,5.381509
undertaking,NN,__UNDEF__,+,4,5.381509
oneself,PRP,__UNDEF__,+,4,5.381509
tigers,NNS,__UNDEF__,+,4,5.381509
conceivable,JJ,__UNDEF__,+,4,5.381509
Göteborg,NP,__UNDEF__,+,4,5.381509
unconsciously,RB,__UNDEF__,+,4,5.381509
I_THINK,NP,__UNDEF__,+,4,5.381509
attraction,NN,__UNDEF__,+,4,5.381509
stirring,VBG,__UNDEF__,+,4,5.381509
felled,VBD,__UNDEF__,+,4,5.381509
PART,NN,__UNDEF__,+,4,5.381509
touchy,JJ,__UNDEF__,+,4,5.381509
'And,__UNDEF__,__UNDEF__,+,4,5.381509
website,NN,__UNDEF__,+,4,5.381509
m,NN,__UNDEF__,+,4,5.381509
Guess,VB,__UNDEF__,+,4,5.381509
i,PRP,__UNDEF__,+,4,5.381509
crew,NN,__UNDEF__,+,4,5.381509
causes,VBZ,__UNDEF__,+,4,5.381509
wrap,VB,__UNDEF__,+,4,5.381509
ALL,NP,__UNDEF__,+,4,5.381509
damn,JJ,__UNDEF__,+,4,5.381509
Halt,NN,__UNDEF__,+,4,5.381509
worked,__UNDEF__,__UNDEF__,+,4,5.381509
damage,VB,__UNDEF__,+,4,5.381509
captives,NNS,__UNDEF__,+,4,5.381509
texts,NNS,__UNDEF__,+,4,5.381509
whistle,VB,__UNDEF__,+,4,5.381509
bothers,VBZ,__UNDEF__,+,4,5.381509
beggars,NNS,__UNDEF__,+,4,5.381509
a.m.,NN,__UNDEF__,+,4,5.381509
aimed,VBN,__UNDEF__,+,4,5.381509
items,NNS,__UNDEF__,+,4,5.381509
Lately,RB,__UNDEF__,+,4,5.381509
valve,NN,__UNDEF__,+,4,5.381509
tame,VB,__UNDEF__,+,4,5.381509
dusty,JJ,__UNDEF__,+,4,5.381509
highway,NN,__UNDEF__,+,4,5.381509
Sooner_or_later,RB,__UNDEF__,+,4,5.381509
goats,NNS,__UNDEF__,+,4,5.381509
institutionalised,VBN,__UNDEF__,+,4,5.381509
sermons,NNS,__UNDEF__,+,4,5.381509
chilly,JJ,__UNDEF__,+,4,5.381509
lent,VBD,__UNDEF__,+,4,5.381509
referred,VBN,__UNDEF__,+,4,5.381509
"""He",__UNDEF__,__UNDEF__,+,4,5.381509
file,VB,__UNDEF__,+,4,5.381509
questions,__UNDEF__,__UNDEF__,+,4,5.381509
rooted,VBN,__UNDEF__,+,4,5.381509
fitting,VBG,__UNDEF__,+,4,5.381509
fished,VBD,__UNDEF__,+,4,5.381509
nuff,NN,__UNDEF__,+,4,5.381509
beheaded,VBN,__UNDEF__,+,4,5.381509
lemonade,NN,__UNDEF__,+,4,5.381509
festivities,NNS,__UNDEF__,+,4,5.381509
tightened,VBD,__UNDEF__,+,4,5.381509
camp,VB,__UNDEF__,+,4,5.381509
packed,VBD,__UNDEF__,+,4,5.381509
receiving,VBG,__UNDEF__,+,4,5.381509
"there,",__UNDEF__,__UNDEF__,+,4,5.381509
bookshelves,NNS,__UNDEF__,+,4,5.381509
breathing,NN,__UNDEF__,+,4,5.381509
rosy,JJ,__UNDEF__,+,4,5.381509
ploughs,NNS,__UNDEF__,+,4,5.381509
course.,__UNDEF__,__UNDEF__,+,4,5.381509
impulses,NNS,__UNDEF__,+,4,5.381509
horrified,VBN,__UNDEF__,+,4,5.381509
cram,VB,__UNDEF__,+,4,5.381509
pictured,VBD,__UNDEF__,+,4,5.381509
Nils_Bjurman,NP,__UNDEF__,+,4,5.381509
